,기업명,공모가(원),기관청약경쟁률,일반청약경쟁률,상장주식수,매출액(백만원),순이익(백만원),자본금(백만원),의무보유확약비율,구주매출비율,최대주주지분율,유통가능물량(비율),공모금액(백만원),첫날손익률,최대희망공모가액차(%),주간사규모,유가증권여부,상장분기,종가
177,하나제약(유가),26000,101.5,147.5,4081460,139331,24310,8100,0.1,0,58.3,35.79,106118,27.5,-7.14,1,1,4,33150
178,알테오젠,26000,409.2,564.78,900000,5527,1606,2930,14.4,0,35.17,47.28,23400,-17.31,0,1,0,4,21500
179,비플라이소프트,10000,111.05,26.86,1000000,24386,-3424,3144,0.76,10,33.31,59.73,10000,-9.5,-47.37,0,0,2,9050
180,에스비비테크,12400,1644.01,1657.6,1800000,6779,-2816,2972,32.54,33.33,41.04,34.1,22320,150.4,0,1,0,4,31050
181,디아이티,10000,105.14,11.1,3757500,85994,11909,1890,6.8,0,70.79,25.23,37575,6.5,-3.85,1,0,3,10650
182,플래티어,11000,1631,2498.8,1800000,39376,2685,4134,18.29,0,43.9,29.1,19800,160,10,1,0,3,28600
183,소룩스,10000,1135.7,1660.08,1973670,71108,5794,815,0.8,17.93,26.1,24.32,19737,160,0,1,0,4,26000
184,엘이티,7800,1255.9,1552.16,2197000,40933,7172,4427,24.5,0,52.56,19.85,17137,159.62,0,1,0,2,20250
185,트윔,22000,1627.34,2266.84,1220000,18260,2916,3627,9.2,0,50.41,10.93,26840,86.82,7.84,0,0,4,41100
186,디지캡,12000,979.06,931.79,584446,16311,2045,1765,4.18,38.4,20.2,51.91,7013,-9.17,14.29,1,0,3,10900
187,옵티팜,10000,94.57,463.49,2945890,13857,-1567,7108,11.6,25.32,46.29,51.33,29459,17,-16.67,1,0,4,11700
188,에코마케팅,35000,941.86,1103,1100000,19665,9306,812,0,0,57.24,23.19,38500,36,12.9,1,0,3,47600
189,미래에셋벤처투자,4500,441.4,1021.77,4500000,54949,6305,30667,3.7,0,67.2,30.73,20250,18,0,1,0,1,5310
190,제이더블유생명과학(유가),30000,224.57,220.29,2400000,125950,12864,39586,7.41,0,50,43.94,72000,43.17,-7.69,1,1,4,42950
191,레몬,7200,426,800.07,4100000,31438,-2377,17250,6.3,0,61.28,36.84,29520,44.44,0,1,0,1,10400
192,팜스빌,14000,1035.53,674.04,1811250,19833,4815,3964,7.05,13.04,69.37,27.81,25358,2.5,0,0,0,4,14350
193,제노코,36000,1452.49,2095.45,490000,32927,2198,1221,22.15,0,43.06,37.78,17640,122.5,9.09,0,0,1,80100
194,시스웍,2800,78.86,830.31,4468543,24178,5347,1800,0.44,0,54.73,32.42,12512,21.07,-28.21,1,0,4,3390
195,테라셈,3000,18.41,54.22,1800000,32384,5075,6983,0,0,59.75,38.22,5400,-8.5,-26.83,1,0,4,2745
196,케어젠,110000,833.46,263.19,1620000,28584,14155,5355,62,0,70,25.34,178200,-2.73,22.22,1,0,4,107000
197,엔비티,19000,1425.3,4397.67,832000,45058,744,831,10.7,0,41.17,39.28,15808,92.11,7.95,1,0,1,36500
198,스튜디오드래곤,35000,536.68,320.11,6000000,137052,7754,14018,27.2,0,75.66,20.97,210000,105.14,0,1,0,4,71800
199,오토앤,5300,1713,2395.63,2877579,49437,3444,6437,8.34,0,26.8,29.6,15251,115.09,10.42,1,0,1,11400
200,이노룰스,12500,1495.69,781.31,1154744,16405,2833,2570,6.02,11.55,41.06,42.52,14434,26.8,0,1,0,4,15850
201,셀레믹스,20000,1203.41,1176.45,1320000,5141,-2256,3902,5.41,0,23.28,44.33,26400,29,0,0,0,3,25800
202,소마젠,11000,69.46,4.42,4200000,21214,-2623,0,0,0,68.7,28.47,46200,37.27,-26.67,1,0,3,15100
203,인바이오,5800,1386.04,1414.15,1630000,33736,1020,5042,8.23,0,24.67,44.32,9454,110.34,0,1,0,4,12200
204,머큐리,6100,749.57,930.39,5120000,138330,4443,7381,13.35,50,64.3,32.6,31232,27.87,0,1,0,4,7800
205,선진뷰티사이언스,11500,1431,1987.74,1835000,47403,4333,3057,17.83,33.24,59.76,32.46,21103,160,0,1,0,1,29900
206,모트렉스,38300,357.12,422.73,1800000,200359,15018,2763,11.24,14.87,55.64,30.47,68940,-12.79,0,1,0,3,33400
207,넥스틴,75400,30.25,13.92,320000,9394,-2625,1567,23.3,0,37.39,43.98,24128,-5.04,0,1,0,4,71600
208,앤디포스,14500,406.09,524.2,4200000,57458,13758,7534,10.6,28.57,70.8,28.3,60900,29.66,0,1,0,4,18800
209,딥노이드,42000,1179.07,834.86,300000,235,-8606,2310,7.29,0,36.08,44.57,12600,20,0,1,0,3,50400
210,영창케미칼,18600,1616.27,682.13,2400000,60760,2506,10110,5.92,16.67,40.09,36.17,44640,-11.56,0,1,0,3,16450
211,윤성에프앤씨,49000,67.49,1.73,1994762,75894,-2915,797,0.14,15,58.4,29.8,97743,-17.45,-20.97,1,0,4,40450
212,알체라,10000,1315.61,1322.58,2000000,3291,-11416,6684,3.88,0,41.15,37.1,20000,160,0,0,0,4,26000
213,강스템바이오텍,6000,11.35,40.92,2000000,208,-3714,6908,0,0,25.3,62.55,12000,56,-40,1,0,4,9360
214,영화테크,12500,61.83,1011.76,704000,61373,5587,2672,0,0,49.62,43.06,8800,160,-19.35,1,0,4,32500
215,파크시스템스,9000,50.29,7.55,1000000,15293,-717,3215,57.3,0,39.28,59.49,9000,-3.78,-18.18,1,0,4,8660
216,모바일어플라이언스,3500,471.31,636.77,3766285,53720,1679,7500,19.13,72.33,33.19,53.98,13182,70.86,0,1,0,1,5980
217,새빗켐,35000,1670.9,1724.96,1070000,33389,4423,2377,37.7,15.89,58.52,34.21,37450,107.14,16.67,1,0,3,72500
218,우진아이엔에스(유가),15000,129.06,11.17,2100000,140446,16846,3811,0.77,33.33,53.47,39.68,31500,31,-11.76,0,1,3,19650
219,서전기전,6500,11.54,8.89,1213000,54843,5701,1800,0,0,57.9,58.15,7885,41.54,-45.83,0,0,4,9200
220,에이비온,17000,139.36,30.66,2280000,1994,-10476,8338,4.3,0,32.6,60.07,38760,-7.65,0,1,0,3,15700
221,엔에프씨,13400,979.94,643.85,2000000,32860,6572,917,6.15,0,52.5,38.04,26800,26.49,0,1,0,4,16950
222,에스디바이오센서(유가),52000,1143.76,274.02,12442200,73728,1399,51635,12.45,41.67,64.19,32.82,646994,17.31,0,1,1,3,61000
223,대창스틸,2500,219.91,568,2200000,334289,4310,7283,0,0,76.76,19.14,5500,65.8,0,1,0,4,4145
224,셀트리온헬스케어,41000,38.06,6.95,24604000,402389,28641,136688,12.5,0,36.82,29.03,1008764,22.68,0,1,0,3,50300
225,에프엔에스테크,14000,624.02,840.67,1000000,44578,2794,3062,6.26,0,31.76,66.12,14000,24.64,7.69,1,0,1,17450
226,티로보틱스,16000,56.9,177.86,800000,70378,7308,2699,0,0,24.74,59.88,12800,-18.44,-11.11,1,0,4,13050
227,지아이텍,14000,2068.17,2968.35,2700000,17189,4165,3935,25.28,25.93,53.88,30.83,37800,160,6.87,1,0,4,36400
228,서울바이오시스,7500,1119,942.7,2000000,368194,5857,19111,10.5,0,64.5,34.92,15000,48,0,1,0,1,11100
229,메카로,33000,719.26,664.69,2000000,48134,2926,4917,42.07,0,61.08,38.1,66000,16.67,10,1,0,4,38500
230,드림텍(유가),13000,395.96,562.7,4545546,527609,9607,2758,0.8,46.48,75.58,15.04,59092,18.46,0,1,1,1,15400
231,샘코,11000,19.26,207,1500000,28814,2044,3878,0.96,0,44.67,36.45,16500,-6.82,-38.89,1,0,3,10250
232,지놈앤컴퍼니,40000,1163.49,1175.1,2000000,46,-84669,6930,9.08,9.69,27.44,40.84,80000,72,0,1,0,4,68800
233,포바이포,17000,1846.32,3763.37,1774967,13993,1354,5112,55.52,10.42,29.2,20.66,30174,160,21.43,1,0,2,44200
234,에이제이네트웍스(유가),34300,197.15,83.3,2300000,194185,18461,35322,20.06,0,49.75,19.93,78890,3.5,0,1,1,3,35500
235,아이스크림에듀,15900,124.73,5.7,1450000,86608,7108,6352,1.34,0,62,36.97,23055,-26.42,-11.67,0,0,3,11700
236,나노브릭,16000,39.3,2.58,456000,7186,859,4560,0,0,19.3,61.76,7296,-7.5,-27.27,1,0,3,14800
237,지오엘리먼트,10000,1613.84,1537.44,1547000,13180,2457,3096,15.23,0,72.8,24,15470,59,14.94,1,0,4,15900
238,비비씨,30700,977.5,464.19,1200000,19073,5653,2190,3.9,21.17,37.57,45.8,36840,-27.36,0,1,0,3,22300
239,천랩,40000,51.11,638.63,430000,3924,-3135,1683,0,0,25.24,39.23,17200,-3.75,-48.72,1,0,4,38500
240,제이아이테크,16000,616.71,29.59,1728870,20498,4739,819,0.55,5.78,55.91,32.76,27662,-25.62,0,1,0,4,11900
241,피코그램,12500,1472.19,1520.35,1000000,24273,1957,306,12.96,0,61.9,33.69,12500,48.8,0,0,0,4,18600
242,래몽래인,15000,1545.68,2054.63,1200000,34650,3153,3124,17.75,0,33.87,46.84,18000,60,15.38,0,0,4,24000
243,피앤씨테크,10200,306.39,679.77,2650000,23950,4889,3248,10.89,0,52.28,44.53,27030,1.47,0,1,0,3,10350
244,제놀루션,14000,1161.09,894.67,800000,3951,-287,1939,21.36,0,29.08,67.66,11200,76.79,0,0,0,3,24750
245,올릭스,36000,876.72,847.09,1200000,244,-5164,3216,74.03,0,30.72,49.6,43200,82.22,20,1,0,3,65600
246,아이씨에이치,34000,57.28,2.51,1180000,24167,2428,2832,12.47,12.29,53.85,35.68,40120,-20.59,-22.73,1,0,3,27000
247,엠로,22600,685.6,250,1016104,40302,3389,2713,6.97,0,38.52,56.52,22964,25.22,0,1,0,3,28300
248,액트로,20000,132.07,545.42,1200000,50659,5654,2500,1.86,0,37.75,53.25,24000,-10,-16.67,1,0,3,18000
249,텔콘,14500,162.88,482.06,1400000,46462,8207,1683,5.53,0,69.69,27.88,20300,-18.97,0,0,0,4,11750
250,코썬바이오,7000,54.22,5.78,3500000,25807,7981,10870,0,42.86,68.55,30.81,24500,-27.29,-22.22,1,0,4,5090
251,케이티비네트워크,5800,50.19,327.26,20000000,66974,35765,50000,6.94,0,52,19.25,116000,-7.76,-19.44,1,0,4,5350
252,두올(유가),8500,71.69,2.17,7300000,176362,6549,45589,0,60,58.9,32.9,62050,-16.94,-5.56,1,1,3,7060
253,동운아나텍,10000,101.68,47.76,500000,44453,5747,3134,7.08,0,23.23,65,5000,28,-16.67,1,0,2,12800
254,지투파워,16400,1729.63,2029.37,885000,29135,2162,1843,11.16,16.72,42.41,26.96,14514,114.94,0,1,0,2,35250
255,유테크,9000,351.1,21.14,1010000,51362,4185,2540,8.59,0,24.2,46.3,9090,20.56,0,0,0,2,10850
256,대모(구.대모엔지니어링),5200,1103.1,1268.53,2150000,51026,3119,4162,15.6,20.93,53.11,31.98,11180,117.31,0,1,0,3,11300
257,큐라클,25000,1219.27,1546.9,2133333,0,-28610,6677,7.23,6.25,17.35,40.94,53333,22.6,0,1,0,3,30650
258,핑거,16000,1453.12,939.39,1300000,60015,3174,4419,12.64,23.08,30.75,50.07,20800,81.88,6.67,0,0,1,29100
259,피플바이오,20000,40.4,51.08,500000,895,-4001,2752,0,0,23.05,52.16,10000,17,-33.33,1,0,4,23400
260,카카오뱅크(유가),39000,1732.83,181.1,65450000,804157,113636,2375501,45.28,0,27.26,27.01,2552550,78.97,0,1,1,3,69800
261,위지윅스튜디오,11000,177.33,6.84,2199515,12989,499,4399,1.13,0,34.78,47.71,24195,-15,-15.38,1,0,4,9350
262,바이젠셀,52700,1271.21,886.2,1886480,0,-10455,4716,13.61,0,29.72,46.57,99417,12.9,0,0,0,3,59500
263,저스템,10500,283.4,82.63,1720000,44827,5732,2585,13.76,0,30.5,50.5,18060,18.1,-8.7,1,0,4,12400
264,마이크로프랜드,7300,124.3,1.17,3000000,36555,2265,5320,0,33.33,36.73,52.8,21900,-18.49,-14.12,1,0,4,5950
265,오에스피,8400,1582.84,1018.61,2056000,15695,2876,4673,4.66,0,45.06,34.48,17270,19.64,0,0,0,4,10050
266,씨에스베어링,8400,1246.86,699.67,2380000,50364,3232,4730,4.65,39.92,42.95,26.91,19992,6.55,0,1,0,4,8950
267,삼성바이오로직스(유가),136000,295.63,45.34,16541302,91278,1904946,165412,24.63,33.33,74.93,20,2249617,5.88,0,1,1,4,144000
268,디앤씨미디어,20000,539.1,563.1,1007000,18893,3012,2017,33.5,0,52.65,12.18,20140,36.5,0,1,0,3,27300
269,케이옥션,20000,1638.36,1408.33,1600000,24192,-2088,4454,36.8,20,50.7,23.24,32000,160,0,0,0,1,52000
270,두산밥캣(유가),30000,9.81,0.29,30028180,4040752,148133,50124,0,0,69.9,24,900845,19.67,-9.09,1,1,4,35900
271,산돌,18800,462.19,113.53,1490000,12025,432,3835,10.4,0,50.2,25.78,28012,10.9,0,1,0,4,20850
272,엘앤케이바이오,15000,220.1,317.14,1023000,28171,8469,5127,0,0,20.4,68.2,15345,-20.67,-16.67,1,0,4,11900
273,피엔케이피부임상연구센타,18300,1372.51,1727.11,2233000,12499,5376,3751,17.1,39.99,59.48,29.76,40864,46.45,0,1,0,3,26800
274,차백신연구소,11000,206.23,42.16,3950000,78,-6240,11194,1.93,0,40.29,42.57,43450,18.18,-26.67,1,0,4,13000
275,브릿지바이오테라퓨틱스,60000,58.85,33.52,700000,0,-40733,3112,0.06,0,26.9,60.29,42000,-9.5,-25,0,0,4,54300
276,포시에스,9100,344.23,1162.83,1300000,12847,4145,3106,0,0,51.12,36.2,11830,75.82,0,0,0,1,16000
277,전진바이오팜,10000,14.69,24.8,500000,3136,-3041,2366,27.2,0,10.58,70.24,5000,27.5,-41.18,1,0,4,12750
278,파티게임즈,13000,224.12,735.99,960000,27040,8748,2385,24.62,0,52.46,21.92,12480,130,0,1,0,4,29900
279,씨앤씨인터내셔널,47500,1029.14,898,1480000,81598,6637,590,5.28,40,74.5,24.26,70300,-13.37,0,1,0,2,41150
280,제노레이,23000,907.12,1028.72,601942,35467,2905,2211,32.59,24.34,33.7,60.1,13845,62.39,12.2,1,0,2,37350
281,센트랄모텍(유가),6000,862.63,580.5,2100000,313342,4469,4200,0,0,56.25,31.01,12600,65.67,0,1,1,4,9940
282,한독크린텍,15100,1117.61,728.28,700000,39627,4165,2010,8.77,0,55.12,44.36,10570,27.48,0,1,0,3,19250
283,애니젠,18000,93.9,812.5,700000,3722,-2574,2471,0,0,21.63,61.7,12600,-30,-30.77,1,0,4,12600
284,데브시스터즈,53000,651.66,285.28,2700000,61303,22326,5400,29.98,0,34.6,62.2,143100,15.09,6,1,0,4,61000
285,파워넷,6500,590.6,1144,3570748,137731,6114,12009,7.66,50,33.1,35.26,23210,19.23,0,0,0,2,7750
286,비즈니스온커뮤니케이션,9000,513.97,1075.91,1898000,11711,2626,4772,14.9,0,41.9,45.05,17082,55.56,0,1,0,4,14000
287,유니온커뮤니티,5000,134.5,1.96,2910000,39399,2008,6180,0,0,23.13,70.41,14550,-33.2,0,1,0,4,3340
288,하나머티리얼즈,12000,689.9,955.33,1940000,52713,7608,4729,49.73,0,47.3,33.74,23280,32.92,0,1,0,2,15950
289,유지인트,15000,643.7,857.34,2060000,43378,4884,5774,27.15,0,47.46,41.36,30900,65.33,7.14,1,0,2,24800
290,바이오솔루션,29000,174.79,302.62,1500000,5011,-1806,3829,5.04,0,21.46,73.05,43500,-1.72,0,1,0,3,28500
291,웹케시,26000,614,947,970000,77086,3679,3381,6.8,0,36.61,60.24,25220,9.62,0,1,0,1,28500
292,리파인,21000,64.19,5.95,4330000,54164,16067,1300,3.22,0,29.9,46.4,90930,-31.9,-12.5,1,0,4,14300
293,엠아이텍,4500,472.57,883.39,7000000,22541,2051,13728,0.42,50,72.85,25.13,31500,6,0,1,0,4,4770
294,엘아이지넥스원(유가),76000,121.11,4.74,6900000,1400164,50554,110000,21.5,0,46.4,25.1,524400,-4.21,0,1,1,4,72800
295,수산아이앤티(구.플러스기술),11500,157.55,12.97,1700000,14082,4296,3377,0.64,0,46.74,51.04,19550,30,0,1,0,4,14950
296,센코,13000,848.37,366.42,1612000,19835,-2411,3885,2.2,17.8,32.56,34.88,20956,17.31,0,1,0,4,15250
297,코난테크놀로지,25000,1482.6,1386.86,1200000,14001,1488,2840,7.07,0,39.17,23.69,30000,22.4,0,1,0,3,30600
298,지앤비에스엔지니어링,17400,1134.34,1479.87,1425000,42392,4554,3582,4.37,0,31.05,49.46,24795,10.34,0,1,0,4,19200
299,이지트로닉스,22000,1343.51,887.4,1980000,15349,3552,3982,2.94,0,45.78,44.84,43560,15.91,0,1,0,1,25500
300,티라유텍,12050,1240.9,1164.16,1125000,22771,1525,543,11.9,0,50.89,20.09,13556,71.37,0,1,0,4,20650
301,박셀바이오,30000,94.18,96.44,985160,0,-1254,3761,11.68,0,27.43,52.27,29555,-29,-14.29,1,0,3,21300
302,아주IB투자,1500,40.55,63.76,24400000,69732,13044,59357,0,50,67.1,24.12,36600,-23.33,-37.5,1,0,4,1150
303,넥스트칩,13000,1623.41,1727.38,2600000,10383,-13496,8692,11.58,0,46.02,35.77,33800,10,12.07,0,0,3,14300
304,미코바이오메드,15000,159.15,41.74,2500000,4098,-13172,8358,0.02,0,39.97,62.03,37500,-8.67,0,1,0,4,13700
305,아이티엠반도체,26000,1078.5,321.09,5050000,228237,18159,11411,15.8,8.71,67.56,30.27,131300,-5,0,1,0,4,24700
306,미투온,3800,73.1,1.15,7160708,14891,4303,14980,0,0,45,48.75,27211,16.97,-11.63,1,0,4,4445
307,에이프릴바이오,16000,14.43,4.76,1620000,0,-10220,10514,10.66,0,21.16,39.82,25920,36.56,-30.43,1,0,3,21850
308,유일로보틱스,10000,1756.45,2535.3,2150000,27952,2505,4290,15.92,0,48.65,27.44,21500,160,8.7,1,0,1,26000
309,알피바이오,13000,1556.04,1518.2,1200000,97923,4616,4039,11.12,0,61.03,34.88,15600,40.77,0,1,0,3,18300
310,에이치시티,17000,95.67,127.28,1136460,24454,4894,2289,11.6,0,38.2,54.6,19320,3.24,-24.44,1,0,4,17550
311,노바렉스,19000,48.64,631.42,960000,80854,8567,4501,18.99,0,33.9,40.64,18240,5.79,-20.83,1,0,4,20100
312,한컴라이프케어(유가),13700,418.99,109.8,8302321,151842,27690,5534,3.27,66.67,36.1,30,113742,-6.57,0,1,1,3,12800
313,씨앤투스성진,32000,1010.02,674.04,1600000,47481,-430,4732,1.7,0,41.15,57.66,51200,-10.31,0,1,0,1,28700
314,아우딘퓨쳐스,26000,182.6,2.99,1000000,25099,1733,2962,0,0,48.49,43.24,26000,-10.38,-13.33,1,0,3,23300
315,호전실업(유가),25000,40.43,331.3,1664670,289118,22535,4000,2.5,32.24,40.79,49.98,41617,-3,-28.57,1,1,1,24250
316,티에프이,10500,1295.18,87.78,2700000,71969,9849,1138,5.3,14.81,71.23,22.91,28350,-11.81,0,0,0,4,9260
317,코리아에셋투자증권,10000,945.66,231.78,1600000,165962,5507,31940,2.25,0,70.37,23.67,16000,-17.1,0,0,0,4,8290
318,엔지켐생명과학,56000,258.68,342.31,770000,21835,-6332,3811,13.25,0,20.38,78.54,43120,52.14,-20,1,0,1,85200
319,라닉스,6000,51.68,770.88,1600000,9811,661,4717,0,0,32.85,38.15,9600,34.83,-42.86,1,0,3,8090
320,미디어젠,10600,576.27,573.16,930000,13383,-533,2319,1.88,0,24.44,73.79,9858,-13.68,0,0,0,4,9150
321,유틸렉스,50000,597.2,322.96,727000,133,-9593,3631,18.63,0,38.41,43.89,36350,56.2,0,1,0,4,78100
322,세경하이테크,35000,10.71,1.2,1000000,176797,28640,2812,0,0,36.68,57.39,35000,-4.71,-32.69,1,0,3,33350
323,코리아오토글라스(유가),11000,57.68,430.14,8040000,429725,25480,100000,4.47,0,100,32.16,88440,23.64,-8.33,1,1,4,13600
324,영림원소프트랩,11500,1269.3,2493.57,1700000,37899,4127,4065,4.3,0,20,60.86,19550,18.7,0,1,0,3,13650
325,오킨스전자,7100,268.25,9.08,1832524,32552,1165,2156,0,0,30.06,62.46,13011,78.17,2.9,1,0,4,12650
326,샤페론,5000,26,9.39,2747000,0,-26543,11115,5.47,0,21.54,29.13,13735,72.6,-50.98,1,0,4,8630
327,공구우먼,20000,56.9,7.53,1400000,32683,4346,367,2.65,0,68.25,30.56,28000,0,-35.48,1,0,1,20000
328,알엔투테크놀로지,5800,570.26,1442.55,670000,10256,1696,3164,0,0,27.07,48.47,3886,50.86,0,1,0,2,8750
329,이노메트리,26000,765.22,791.16,1206277,14063,1177,2412,11.39,0,61.3,25.8,31363,13.65,4,0,0,4,29550
330,드림씨아이에스,14900,926.11,669.22,1354786,19200,3417,2709,6.82,0,65.16,26.23,20186,104.7,0,1,0,2,30500
331,지누스(유가),70000,45.68,0.63,3020860,621764,43609,7103,13.73,27.27,44.5,55.5,211460,18.57,-22.22,1,1,4,83000
332,이원다이애그노믹스,6500,749.79,810.33,7200000,1449,-3606,3589,27.87,0,34.52,48.75,46800,66.15,14.04,0,0,2,10800
333,녹십자엠에스,6000,474.11,477.08,2000000,61986,2178,4780,0,0,74.11,21.08,12000,72.5,3.45,1,0,4,10350
334,에스케이씨코오롱피아이,8000,23.01,45.53,12800000,133705,25690,14683,0,0,44.4,41.41,102400,-5.25,-46.67,1,0,4,7580
335,아이패밀리에스씨,25000,63.1,20.88,978000,79218,8747,2060,0,16.24,40.47,36.14,24450,1.6,-47.92,1,0,4,25400
336,휴젤,150000,6.7,91.63,360000,23269,10758,1642,8.61,0,26.41,46.78,54000,12.2,-28.57,1,0,4,168300
337,슈피겐코리아,27500,255.6,360.12,1850000,54240,9495,2165,30.86,0,65,32.5,50875,55.09,0,1,0,4,42650
338,범한퓨얼셀,40000,751.39,710.37,2136000,31900,3457,4380,10.75,0,51.36,35.83,85440,19.88,0,1,0,2,47950
339,코디엠,4700,39.79,599.99,1000000,38105,1914,1896,2.51,0,41.2,28.1,4700,29.79,-18.97,1,0,4,6100
340,화인베스틸(유가),4700,85.45,248.12,6433560,224271,16948,16050,0,0,37.4,50.28,30238,9.79,-7.84,1,1,3,5160
341,잇츠스킨(유가),170000,11.53,219.27,948317,241884,76331,4367,8.7,0,74,9.9,161214,-10.59,-32.81,1,1,4,152000
342,아스타,8000,18.4,484.52,1750000,364,-1924,4701,0,0,52.86,26.6,14000,57.5,-55.56,1,0,1,12600
343,성일하이텍,50000,2269.68,1207.1,2670000,65939,-2998,5947,38.66,0,32.98,34.57,133500,76.4,5.26,1,0,3,88200
344,티쓰리엔터테인먼트,1700,1744.08,1384.3,17000000,68666,10106,6558,4.03,0,35.39,31.58,28900,22.65,0,1,0,4,2085
345,한화시스템(유가),12250,23.61,16.84,32861424,1128925,41242,551151,4.24,75.16,62.4,23.85,402552,-9.39,-12.5,1,1,4,11100
346,타이거일렉,6000,230.02,241.92,1543000,25327,2694,2290,1.36,0,64.2,25.7,9258,23.83,-13.04,1,0,3,7430
347,퓨쳐켐,15000,62.51,473.9,1400000,1447,-24584,2811,0,0,22.1,63.64,21000,-26.33,-31.82,1,0,4,11050
348,하이즈항공,18000,47.27,3.08,4375000,31291,3109,8723,0.89,0,45.34,44.51,78750,-6.67,-30.77,1,0,4,16800
349,메가엠디,3000,16.67,280.82,5372464,61775,5146,10200,7.5,0,62.21,31.73,16117,26.67,-34.78,1,0,4,3800
350,아진엑스텍,7000,478.65,876.27,1000000,18913,3278,2815,0,0,42.03,53.43,7000,0.86,16.67,1,0,3,7060
351,옵토팩,5900,397.4,371.21,700000,31661,-356,2409,2.82,0,34.61,64.91,4130,36.78,0,0,0,3,8070
352,에이치엔티일렉트로닉스,10000,132.1,996.23,1350000,90441,1788,3465,0,0,38.85,58.62,13500,5.5,-37.5,1,0,4,10550
353,위세아이텍,12000,1105.93,1076.62,850000,16549,1505,2146,6.95,0,40.74,58.27,10200,3.33,7.14,0,0,1,12400
354,씨앤지하이테크,16000,249.23,625.64,1288000,44345,5498,2101,0,0,35.76,54.79,20608,16.56,-20,1,0,1,"18,650"
355,에스씨엠생명과학,17000,1032.17,814.91,1800000,29,-40095,5870,7.7,0,26.24,37.57,30600,112.35,0,1,0,2,"36,100"
356,NS쇼핑(구.농수산홈쇼핑)(유가),235000,302.59,236.82,878181,347135,54619,16848,15.66,0,40.71,53.93,206373,-8.3,0,1,1,1,"215,500"
357,제일홀딩스,20700,113.98,20.67,20381000,6196498,371783,7071,2.88,0,66.5,33.5,421887,-7.97,-8.81,1,0,2,"19,050"
358,멕아이씨에스,4500,3.77,174.29,550000,8547,-32,2680,0,0,33.77,62.15,2475,46.67,-50,1,0,4,"6,600"
359,제주맥주,3200,1356.43,1747.82,8362000,7317,-13955,27997,5.47,0,22.5,32.16,26758,53.12,10.34,0,0,2,"4,900"
