id,hour,기온,강수확률,풍속,습도,가시성,오존,pm10,pm2.5,count,busy_hour
45,0,11.7,0.0,3.5,80.0,895,0.044,58,31,34.0,0
126,0,15.5,0.0,0.9,30.0,2000,0.004,51,32,76.0,0
183,0,18.5,0.0,0.9,46.0,1848,0.008,69,44,69.0,0
223,0,18.6,0.0,0.3,58.0,554,0.053,110,63,104.0,0
230,0,11.4,1.0,2.8,84.0,350,0.012,69,59,17.0,0
249,0,16.6,0.0,2.3,47.0,1048,0.074,76,41,89.0,0
403,0,19.5,0.0,2.4,55.0,2000,0.003,34,22,98.0,0
433,0,14.5,0.0,2.2,67.0,1661,0.033,47,18,62.0,0
446,0,17.7,0.0,1.1,36.0,1111,0.027,155,35,78.0,0
501,0,10.0,0.0,0.5,50.0,830,0.026,82,70,46.0,0
506,0,15.3,0.0,1.2,87.0,391,0.015,75,35,91.0,0
539,0,17.2,0.0,1.8,35.0,2000,0.043,24,19,137.0,0
559,0,15.4,0.0,2.4,41.0,2000,0.035,26,11,80.0,0
570,0,14.3,0.0,2.0,49.0,2000,0.044,37,20,58.0,0
691,0,17.9,0.0,0.7,87.0,582,0.004,32,25,30.0,0
729,0,13.8,0.0,3.2,69.0,518,0.042,79,46,46.0,0
748,0,14.8,0.0,1.2,64.0,2000,0.042,28,16,78.0,0
790,0,11.7,0.0,1.3,76.0,733,0.031,68,29,79.0,0
837,0,12.4,0.0,2.6,55.0,965,0.059,81,54,51.0,0
877,0,11.1,0.0,2.3,72.0,1290,0.04,48,25,66.0,0
936,0,11.5,0.0,1.0,74.0,2000,0.026,26,22,40.0,0
938,0,12.8,0.0,1.8,79.0,733,0.008,46,38,75.0,0
984,0,14.9,0.0,2.4,35.0,2000,0.034,55,20,68.0,0
994,0,17.6,0.0,1.2,73.0,665,0.038,57,36,80.0,0
1039,0,14.4,0.0,3.0,75.0,1629,0.022,32,20,67.0,0
1054,0,12.8,0.0,1.3,85.0,830,0.035,41,21,87.0,0
1157,0,9.0,0.0,2.6,52.0,2000,0.034,57,21,44.0,0
1193,0,20.3,0.0,2.3,55.0,1731,0.017,58,31,94.0,0
1220,0,7.5,0.0,1.2,56.0,962,0.031,75,64,36.0,0
1244,0,12.2,0.0,2.5,23.0,2000,0.036,66,19,46.0,0
1246,0,18.5,0.0,0.6,45.0,1345,0.055,62,36,121.0,0
1252,0,11.0,0.0,0.9,72.0,920,0.015,83,38,64.0,0
1260,0,15.6,0.0,2.3,62.0,1433,0.023,56,36,93.0,0
1307,0,19.1,0.0,1.4,61.0,2000,0.016,28,17,94.0,0
1386,0,16.1,0.0,1.8,45.0,2000,0.016,33,22,95.0,0
1391,0,13.5,0.0,3.8,46.0,2000,0.042,26,20,48.0,0
1414,0,18.4,0.0,2.3,44.0,2000,0.037,26,21,128.0,0
1470,0,12.9,0.0,1.3,43.0,1844,0.037,85,19,72.0,0
1477,0,5.9,0.0,2.0,74.0,2000,0.042,25,25,40.0,0
1522,0,9.6,0.0,3.2,66.0,1957,0.034,51,14,50.0,0
1551,0,19.7,0.0,3.4,76.0,749,0.065,48,31,100.0,0
1578,0,18.3,0.0,2.6,47.0,2000,0.033,49,32,107.0,0
1624,0,12.2,0.0,1.2,50.0,1707,0.033,58,29,62.0,0
1698,0,13.6,0.0,1.5,29.0,1154,0.055,76,66,47.0,0
1725,0,16.3,0.0,4.5,78.0,499,0.044,84,30,71.0,0
1847,0,16.8,0.0,0.6,62.0,2000,0.029,35,19,94.0,0
1894,0,12.5,0.0,1.4,32.0,2000,0.038,27,19,63.0,0
1895,0,20.7,0.0,1.4,61.0,2000,0.018,28,23,86.0,0
1974,0,18.8,0.0,2.9,31.0,2000,0.061,53,22,69.0,0
1986,0,9.9,0.0,1.4,86.0,620,0.01,40,30,47.0,0
1996,0,14.0,0.0,2.2,61.0,2000,0.036,44,17,63.0,0
2009,0,15.8,0.0,3.0,76.0,389,0.065,93,55,90.0,0
2038,0,10.5,0.0,3.4,59.0,1990,0.044,46,23,58.0,0
2045,0,19.2,0.0,1.6,62.0,1976,0.033,35,29,75.0,0
2059,0,11.1,0.0,1.4,39.0,1931,0.015,102,24,62.0,0
2082,0,20.6,0.0,2.0,71.0,827,0.047,60,35,80.0,0
2124,0,19.9,0.0,0.8,73.0,314,0.041,97,56,90.0,0
2132,0,18.8,0.0,2.5,51.0,1638,0.051,51,35,106.0,0
2155,0,12.3,0.0,3.7,35.0,2000,0.037,34,17,66.0,0
28,1,20.0,0.0,1.8,58.0,2000,0.032,57,31,74.0,0
78,1,12.2,0.0,3.0,49.0,1071,0.032,57,31,36.0,0
130,1,9.4,0.0,2.5,65.0,1907,0.032,57,31,39.0,0
208,1,18.8,0.0,1.1,61.0,2000,0.032,57,31,62.0,0
220,1,18.4,0.0,3.1,31.0,2000,0.032,57,31,63.0,0
234,1,15.3,0.0,1.4,77.0,1542,0.032,57,31,41.0,0
268,1,8.8,0.0,3.6,62.0,1997,0.032,57,31,45.0,0
346,1,12.4,1.0,2.4,99.0,232,0.032,57,31,6.0,0
368,1,9.9,0.0,1.3,85.0,522,0.032,57,31,35.0,0
381,1,14.1,0.0,1.8,55.0,1992,0.032,57,31,38.0,0
412,1,19.0,0.0,0.6,78.0,258,0.032,57,31,46.0,0
450,1,12.1,0.0,1.8,34.0,2000,0.032,57,31,23.0,0
493,1,9.9,0.0,1.6,62.0,1755,0.032,57,31,41.0,0
504,1,15.0,0.0,1.5,65.0,1167,0.032,57,31,70.0,0
511,1,11.4,0.0,1.7,40.0,1645,0.032,57,31,27.0,0
545,1,14.4,0.0,2.6,41.0,2000,0.032,57,31,52.0,0
667,1,15.5,0.0,5.4,48.0,540,0.032,57,31,40.0,0
711,1,14.1,0.0,2.0,41.0,2000,0.032,57,31,29.0,0
715,1,12.3,0.0,1.2,78.0,629,0.032,57,31,58.0,0
727,1,5.3,0.0,2.3,76.0,1965,0.032,57,31,24.0,0
740,1,4.9,0.0,1.5,81.0,2000,0.032,57,31,34.0,0
782,1,11.3,1.0,4.3,88.0,295,0.032,57,31,24.0,0
850,1,20.0,0.0,2.1,73.0,729,0.032,57,31,46.0,0
885,1,16.2,0.0,2.8,51.0,919,0.032,57,31,62.0,0
889,1,18.0,0.0,1.4,47.0,2000,0.032,57,31,77.0,0
906,1,16.8,0.0,0.8,79.0,518,0.032,57,31,95.0,0
955,1,20.0,0.0,2.2,58.0,1617,0.032,57,31,78.0,0
956,1,11.7,0.0,3.1,38.0,2000,0.032,57,31,51.0,0
992,1,17.8,0.0,1.2,59.0,676,0.032,57,31,42.0,0
1009,1,13.4,0.0,1.9,69.0,2000,0.032,57,31,34.0,0
1047,1,14.5,0.0,1.7,71.0,1307,0.032,57,31,44.0,0
1068,1,13.3,0.0,0.8,29.0,1226,0.032,57,31,34.0,0
1080,1,11.6,0.0,0.6,52.0,1853,0.032,57,31,39.0,0
1113,1,7.1,0.0,1.8,56.0,956,0.032,57,31,13.0,0
1141,1,18.7,0.0,2.0,64.0,1737,0.032,57,31,29.0,0
1167,1,9.5,0.0,0.5,52.0,800,0.032,57,31,26.0,0
1194,1,17.7,0.0,1.1,53.0,2000,0.032,57,31,98.0,0
1214,1,17.8,1.0,1.0,91.0,323,0.032,57,31,41.0,0
1232,1,19.3,0.0,1.9,78.0,715,0.032,57,31,39.0,0
1306,1,17.9,0.0,1.3,50.0,1812,0.032,57,31,30.0,0
1332,1,10.9,0.0,2.1,71.0,1057,0.032,57,31,38.0,0
1453,1,15.1,0.0,1.6,79.0,338,0.032,57,31,46.0,0
1469,1,13.1,0.0,2.5,46.0,2000,0.032,57,31,17.0,0
1540,1,11.5,0.0,1.2,73.0,774,0.032,57,31,79.0,0
1609,1,18.2,0.0,1.7,51.0,1871,0.032,57,31,53.0,0
1661,1,11.5,0.0,2.4,82.0,727,0.032,57,31,63.0,0
1689,1,13.8,0.0,1.6,78.0,1351,0.032,57,31,36.0,0
1726,1,16.1,0.0,1.5,68.0,1866,0.032,57,31,67.0,0
1742,1,18.7,0.0,1.1,63.0,2000,0.032,57,31,49.0,0
1744,1,17.3,0.0,1.3,39.0,1050,0.032,57,31,84.0,0
1757,1,11.2,0.0,1.2,78.0,1982,0.032,57,31,37.0,0
1762,1,15.6,0.0,0.6,46.0,2000,0.032,57,31,70.0,0
1789,1,14.1,0.0,1.5,62.0,863,0.032,57,31,44.0,0
1840,1,12.4,0.0,3.5,84.0,911,0.032,57,31,57.0,0
1928,1,10.6,0.0,0.2,71.0,844,0.032,57,31,67.0,0
1934,1,14.1,0.0,1.3,69.0,1970,0.032,57,31,56.0,0
1941,1,16.6,0.0,2.1,35.0,2000,0.032,57,31,62.0,0
1994,1,15.1,0.0,1.3,35.0,2000,0.032,57,31,40.0,0
2005,1,17.7,0.0,1.0,43.0,1338,0.032,57,31,69.0,0
2047,1,12.6,0.0,2.4,48.0,1805,0.032,57,31,43.0,0
2086,1,11.5,0.0,3.2,23.0,2000,0.032,57,31,42.0,0
13,2,13.6,0.0,1.7,80.0,1073,0.027,34,15,39.0,0
46,2,13.0,0.0,0.5,48.0,1992,0.043,73,26,29.0,0
49,2,8.9,0.0,0.9,52.0,839,0.011,80,71,10.0,0
87,2,11.4,0.0,2.1,40.0,1766,0.033,103,24,23.0,0
95,2,18.6,0.0,1.0,75.0,274,0.018,115,73,36.0,0
111,2,6.4,0.0,0.9,58.0,1039,0.031,72,56,3.0,0
117,2,15.1,0.0,0.6,47.0,2000,0.006,38,24,41.0,0
134,2,10.7,0.0,2.4,72.0,990,0.042,52,25,30.0,0
184,2,18.0,0.0,2.1,66.0,1659,0.023,40,29,20.0,0
204,2,17.8,0.0,1.5,47.0,2000,0.028,34,22,50.0,0
250,2,12.3,0.0,1.2,54.0,1814,0.036,78,20,24.0,0
256,2,11.4,0.0,1.6,83.0,610,0.048,57,32,37.0,0
326,2,12.7,0.0,2.5,45.0,2000,0.037,32,25,21.0,0
344,2,19.8,0.0,2.2,58.0,1632,0.025,63,30,52.0,0
406,2,15.6,0.0,0.8,71.0,1908,0.03,33,19,44.0,0
419,2,12.4,0.0,3.5,42.0,1448,0.063,73,47,25.0,0
423,2,14.1,0.0,4.5,42.0,2000,0.037,21,12,40.0,0
488,2,18.2,0.0,2.1,64.0,2000,0.003,33,23,40.0,0
530,2,17.2,0.0,0.4,44.0,1048,0.022,162,39,38.0,0
535,2,13.2,0.0,2.4,29.0,1271,0.033,60,51,26.0,0
551,2,8.4,0.0,2.0,68.0,1923,0.033,55,18,21.0,0
576,2,11.2,0.0,1.6,55.0,1583,0.024,62,31,43.0,0
593,2,10.9,0.0,0.8,79.0,1918,0.018,31,23,28.0,0
639,2,10.8,0.0,1.4,22.0,1998,0.038,64,19,24.0,0
776,2,15.4,0.0,1.3,76.0,1276,0.035,25,20,20.0,0
925,2,11.9,0.0,1.8,78.0,574,0.004,61,50,29.0,0
948,2,14.6,0.0,1.1,82.0,293,0.061,100,57,16.0,0
1024,2,17.4,0.0,1.3,44.0,1319,0.023,68,41,39.0,0
1041,2,12.9,0.0,1.9,71.0,2000,0.035,42,16,22.0,0
1142,2,4.9,0.0,1.0,78.0,1947,0.026,30,27,16.0,0
1180,2,14.6,0.0,1.4,37.0,1997,0.004,48,36,24.0,0
1199,2,13.7,0.0,0.7,71.0,1988,0.018,34,21,38.0,0
1205,2,14.3,0.0,0.4,70.0,1014,0.038,58,39,42.0,0
1234,2,18.3,0.0,0.9,64.0,1978,0.014,31,22,42.0,0
1293,2,14.1,0.0,0.3,75.0,990,0.032,47,24,31.0,0
1326,2,19.4,0.0,1.1,59.0,2000,0.018,29,22,45.0,0
1367,2,12.3,0.0,4.0,85.0,658,0.04,52,20,35.0,0
1454,2,19.0,0.0,2.2,78.0,759,0.06,50,33,20.0,0
1485,2,17.9,1.0,0.1,91.0,383,0.004,29,26,22.0,0
1502,2,13.6,0.0,2.2,70.0,491,0.039,69,39,21.0,0
1521,2,11.0,0.0,0.4,42.0,1926,0.037,27,19,23.0,0
1544,2,17.4,0.0,0.5,50.0,1779,0.004,74,45,33.0,0
1677,2,9.7,0.0,2.6,86.0,448,0.005,51,51,20.0,0
1692,2,11.3,0.0,1.6,71.0,791,0.027,74,34,66.0,0
1705,2,19.4,0.0,1.8,78.0,634,0.051,59,34,33.0,0
1739,2,17.1,0.0,0.8,53.0,956,0.026,108,65,28.0,0
1809,2,17.1,0.0,1.7,57.0,2000,0.02,46,29,70.0,0
1831,2,16.4,0.0,1.4,79.0,505,0.042,59,37,56.0,0
1837,2,5.1,0.0,1.3,77.0,2000,0.018,16,31,29.0,0
1855,2,14.0,0.0,1.6,52.0,2000,0.044,37,20,20.0,0
1865,2,16.0,0.0,2.8,55.0,864,0.083,87,50,34.0,0
1880,2,11.0,0.0,2.8,42.0,2000,0.037,32,18,33.0,0
1882,2,12.1,1.0,3.3,98.0,328,0.034,9,8,8.0,0
1911,2,14.2,0.0,4.9,33.0,660,0.041,252,31,26.0,0
1960,2,8.8,0.0,2.3,68.0,1910,0.031,84,14,23.0,0
1966,2,17.6,0.0,2.3,34.0,2000,0.055,46,20,43.0,0
2063,2,15.8,0.0,1.4,39.0,2000,0.029,21,16,51.0,0
2076,2,10.3,0.0,0.3,76.0,798,0.004,83,38,32.0,0
2136,2,17.7,0.0,2.1,54.0,1609,0.055,48,31,53.0,0
2161,2,11.4,1.0,0.9,89.0,289,0.017,67,57,5.0,0
2164,2,9.2,0.0,0.4,62.0,1882,0.04,49,18,24.0,0
14,3,10.6,0.0,1.5,58.0,1548,0.038,62,33,23.0,0
44,3,17.2,0.0,1.6,59.0,1277,0.052,49,32,30.0,0
75,3,15.1,0.0,0.8,74.0,1935,0.034,32,20,30.0,0
108,3,17.0,0.0,0.5,47.0,1218,0.039,71,39,21.0,0
110,3,18.1,0.0,1.5,64.0,2000,0.013,31,22,15.0,0
154,3,11.7,0.0,3.9,98.0,150,0.041,20,20,3.0,0
164,3,8.5,0.0,1.1,54.0,848,0.007,81,73,8.0,0
179,3,13.2,0.0,2.5,25.0,950,0.041,269,21,16.0,0
194,3,10.7,1.0,3.3,56.0,1392,0.032,103,23,12.0,0
226,3,16.8,0.0,1.6,40.0,1994,0.046,48,25,30.0,0
291,3,7.9,0.0,1.7,73.0,1827,0.034,52,21,14.0,0
384,3,13.5,0.0,0.2,72.0,839,0.036,60,40,27.0,0
386,3,13.8,0.0,1.0,81.0,849,0.032,48,19,18.0,0
404,3,14.0,0.0,1.6,50.0,2000,0.049,35,22,17.0,0
457,3,16.5,0.0,1.1,43.0,1068,0.01,162,39,32.0,0
554,3,11.6,1.0,0.0,90.0,284,0.01,68,57,5.0,0
600,3,5.7,0.0,0.8,74.0,2000,0.032,12,13,21.0,0
664,3,8.9,0.0,1.4,62.0,1994,0.041,46,18,23.0,0
735,3,4.6,0.0,0.3,76.0,1951,0.03,27,25,11.0,0
739,3,16.1,0.0,2.9,83.0,400,0.051,60,35,46.0,0
827,3,13.2,0.0,2.2,71.0,496,0.034,66,41,23.0,0
841,3,19.1,0.0,0.9,79.0,489,0.04,67,39,20.0,0
887,3,17.3,0.0,2.2,69.0,1636,0.032,30,24,27.0,0
914,3,19.4,0.0,2.7,59.0,1529,0.025,65,31,32.0,0
951,3,13.3,0.0,2.5,43.0,2000,0.037,19,9,23.0,0
985,3,10.4,0.0,0.6,42.0,2000,0.033,30,21,8.0,0
1032,3,6.0,0.0,1.6,57.0,1163,0.035,62,52,11.0,0
1086,3,13.3,0.0,0.6,72.0,1879,0.006,36,19,22.0,0
1137,3,11.3,0.0,2.0,78.0,548,0.008,67,58,17.0,0
1175,3,14.2,0.0,2.0,83.0,248,0.06,102,57,15.0,0
1211,3,10.6,0.0,1.9,82.0,1638,0.024,33,27,18.0,0
1230,3,12.2,0.0,0.5,48.0,1961,0.049,81,25,15.0,0
1239,3,14.3,0.0,1.4,38.0,2000,0.004,50,35,19.0,0
1242,3,17.6,0.0,1.3,69.0,2000,0.003,32,22,34.0,0
1270,3,10.9,0.0,1.4,74.0,730,0.029,71,33,29.0,0
1290,3,12.9,0.0,2.4,66.0,2000,0.036,39,17,14.0,0
1292,3,18.6,0.0,1.3,79.0,748,0.062,47,30,30.0,0
1385,3,14.9,0.0,0.7,47.0,2000,0.01,40,26,30.0,0
1422,3,15.2,0.0,0.7,44.0,2000,0.041,20,17,35.0,0
1538,3,12.8,0.0,2.0,38.0,802,0.016,94,82,15.0,0
1541,3,16.3,0.0,2.4,59.0,792,0.018,111,65,25.0,0
1613,3,16.5,0.0,0.8,59.0,2000,0.026,40,26,28.0,0
1614,3,11.9,0.0,2.1,58.0,1716,0.038,75,19,22.0,0
1626,3,12.2,0.0,2.9,41.0,2000,0.042,34,27,17.0,0
1635,3,10.5,0.0,2.4,73.0,990,0.042,46,25,26.0,0
1836,3,8.6,0.0,2.0,68.0,1891,0.026,85,15,19.0,0
1892,3,15.4,0.0,1.6,77.0,1104,0.036,23,18,14.0,0
1901,3,9.7,0.0,0.2,76.0,841,0.005,79,40,28.0,0
1931,3,13.7,0.0,2.0,80.0,1034,0.026,35,18,12.0,0
1971,3,9.4,0.0,0.9,87.0,387,0.006,45,31,8.0,0
1983,3,15.8,0.0,3.1,60.0,722,0.082,83,52,31.0,0
1988,3,10.3,0.0,2.4,20.0,2000,0.043,64,19,16.0,0
2042,3,17.8,0.0,0.8,91.0,330,0.005,31,23,29.0,0
2043,3,17.1,0.0,1.4,50.0,1718,0.004,72,44,24.0,0
2071,3,18.8,0.0,0.5,54.0,2000,0.019,29,22,34.0,0
2081,3,11.3,0.0,1.3,82.0,602,0.049,62,33,25.0,0
2126,3,12.1,0.0,3.2,85.0,679,0.043,54,21,17.0,0
2129,3,12.1,0.0,3.0,40.0,1436,0.066,71,44,13.0,0
2144,3,17.4,0.0,1.0,52.0,2000,0.029,38,27,31.0,0
2171,3,18.1,0.0,0.8,77.0,272,0.008,112,69,26.0,0
2175,3,10.8,0.0,3.8,45.0,2000,0.039,34,19,20.0,0
21,4,5.7,0.0,0.6,77.0,1960,0.028,14,18,6.0,0
162,4,8.0,0.0,1.5,53.0,861,0.005,82,77,8.0,0
199,4,17.8,0.0,1.8,91.0,328,0.013,25,22,9.0,0
246,4,16.9,0.0,2.0,71.0,1636,0.037,29,22,8.0,0
248,4,10.4,0.0,0.2,83.0,1235,0.027,35,24,13.0,0
281,4,10.1,0.0,1.6,73.0,937,0.04,50,22,12.0,0
298,4,18.5,0.0,0.2,55.0,2000,0.014,30,21,17.0,0
305,4,13.1,0.0,0.4,73.0,1480,0.005,33,19,13.0,0
328,4,18.0,0.0,1.3,75.0,259,0.007,110,68,15.0,0
343,4,9.9,0.0,2.6,49.0,2000,0.04,32,16,14.0,0
360,4,15.9,0.0,1.7,59.0,669,0.02,103,62,20.0,0
389,4,16.1,0.0,0.6,45.0,1968,0.036,47,26,13.0,0
514,4,16.0,0.0,0.1,52.0,1162,0.041,68,41,15.0,0
561,4,14.0,0.0,1.6,43.0,1999,0.007,55,40,6.0,0
569,4,11.9,0.0,2.8,85.0,742,0.045,57,22,27.0,0
573,4,10.6,0.0,1.8,80.0,512,0.019,53,45,8.0,0
597,4,7.5,0.0,0.4,79.0,1636,0.032,56,21,6.0,0
603,4,15.6,0.0,2.1,65.0,636,0.081,83,48,27.0,0
634,4,18.9,0.0,1.7,80.0,459,0.04,70,41,13.0,0
787,4,12.3,0.0,1.5,36.0,966,0.024,96,90,14.0,0
833,4,12.3,0.0,0.7,49.0,1506,0.059,103,28,7.0,0
947,4,12.3,0.0,2.8,22.0,1082,0.042,223,20,16.0,0
966,4,11.7,0.0,0.6,91.0,239,0.008,72,60,9.0,0
1063,4,13.5,0.0,1.3,81.0,896,0.032,34,21,16.0,0
1078,4,18.9,0.0,2.3,60.0,1588,0.033,61,29,14.0,0
1123,4,10.5,0.0,1.2,74.0,739,0.03,70,32,9.0,0
1136,4,16.5,0.0,0.9,64.0,1014,0.049,48,36,20.0,0
1183,4,10.2,0.0,4.2,14.0,2000,0.046,57,15,9.0,0
1283,4,13.4,0.0,0.0,74.0,746,0.025,64,43,13.0,0
1305,4,11.7,0.0,2.2,38.0,1645,0.065,70,43,15.0,0
1317,4,12.8,0.0,1.9,76.0,407,0.036,68,42,15.0,0
1328,4,5.5,0.0,0.6,56.0,1146,0.038,63,53,5.0,0
1338,4,16.4,0.0,2.8,61.0,1388,0.004,81,52,9.0,0
1417,4,4.2,0.0,1.1,77.0,1258,0.024,24,32,16.0,0
1419,4,11.0,0.0,0.9,84.0,532,0.052,60,33,22.0,0
1431,4,13.8,0.0,0.2,86.0,230,0.057,103,58,11.0,0
1435,4,15.3,0.0,0.4,78.0,1196,0.035,22,18,2.0,0
1449,4,15.8,0.0,2.3,84.0,387,0.047,68,36,23.0,0
1535,4,13.4,0.0,1.4,79.0,815,0.027,47,22,9.0,0
1545,4,13.5,0.0,0.9,52.0,2000,0.051,32,20,11.0,0
1603,4,16.6,0.0,2.8,48.0,1070,0.013,151,39,16.0,0
1650,4,16.1,0.0,0.6,60.0,2000,0.028,39,28,27.0,0
1655,4,14.6,0.0,0.6,49.0,2000,0.014,41,27,19.0,0
1673,4,11.0,1.0,3.4,98.0,137,0.04,24,24,2.0,0
1676,4,8.0,0.0,0.5,66.0,1993,0.031,84,22,11.0,0
1736,4,14.7,0.0,0.4,76.0,1704,0.035,34,20,31.0,0
1769,4,12.6,0.0,1.0,65.0,2000,0.041,32,12,7.0,0
1778,4,14.9,0.0,0.4,46.0,2000,0.028,22,16,24.0,0
1815,4,18.0,0.0,1.7,66.0,1998,0.011,30,23,11.0,0
1870,4,11.7,0.0,2.4,40.0,2000,0.042,33,25,5.0,0
1920,4,11.5,0.0,2.4,64.0,1470,0.038,77,21,29.0,0
1932,4,10.1,0.0,0.0,44.0,2000,0.036,26,20,9.0,0
1969,4,9.4,0.0,1.4,82.0,528,0.013,80,39,9.0,0
1979,4,9.2,0.0,1.8,88.0,312,0.018,47,46,10.0,0
1980,4,12.9,0.0,2.4,44.0,2000,0.039,17,10,19.0,0
